Line Item #,Item,Hyperlink to Item,"Description of Need for Item (Why is this neccesary for your project? What role will it play? If purchasing items part of a kit, explain why the kit is needed)",Quantity,Cost Per Item,Shipping Cost,Line Item Cost,,Requested By:,Phan Anh Duong
1,NVIDIA Jetson Orin Nano Developer Kit,Link,"This is the Jetson Orin Nano Developer Kit that we will be using, and is a central part of our project. It is like a Raspberry Pi if it somehow has an NVIDIA 3080 stuck to it. This is necessary hardware for our project, and will allow us to actually accept real time input and generate real time output. There are older versions of the Jetson Developer Kit, but as we are planning on leveraging LLMs, this specific version would be ideal to use without significant optimization and risk of throttling the hardware on our end.",2,$499.00 ,$0.00 ,$998.00 ,,Request Date:,11/11/2024
2,Waveshare Aluminum Alloy Case for Jetson Orin,Link,"This is the casing for our Orins. This is to ensure that our Orins has longevity and does not get easily damaged by dust, debris or other hazards. The Orin kits are very expensive, so I want to make sure that accidents don't seriously damage our items.",2,$22.99 ,$0.00 ,$45.98 ,,Total Purchase Cost=,"$1,158.23"
3,SainSmart IMX219 Camera Module for NVIDIA Jetson Nano Board,Link,"Our project interface with multimodality, so I want to give it the ability to input images.",2,$21.99 ,$0.00 ,$43.98 ,,,
4,USB Audio Codec for Jetson Nano,Link,This is out audio input/output for another aspect in our aim for multimodality in the system.,1,$26.29 ,$0.00 ,$26.29 ,,,
5,Waveshare AC8265 Wireless NIC Module,Link,"This gives the Jetson access to Bluetooth and most importantly Wifi internet. This is so that we don't have to confine our development through ethernet cables and allow us to remotely ssh into the board. As a bonus, this allow gives us the doorway into using the internet for our project.",2,$21.99 ,$0.00 ,$43.98 ,,,
6,,,,,,,$0.00 ,,,
7,,,,,,,$0.00 ,,,
8,,,,,,,$0.00 ,,,
9,,,,,,,$0.00 ,,,
10,,,,,,,$0.00 ,,,
11,,,,,,,$0.00 ,,,
12,,,,,,,$0.00 ,,,
13,,,,,,,$0.00 ,,,
14,,,,,,,$0.00 ,,,
15,,,,,,,$0.00 ,,,
16,,,,,,,$0.00 ,,,
17,,,,,,,$0.00 ,,,
18,,,,,,,$0.00 ,,,
19,,,,,,,$0.00 ,,,
20,,,,,,,$0.00 ,,,
